구간,시간,2025.08.31,2025.08.30,2025.08.29,2025.08.28,2025.08.27,2025.08.26,2025.08.25,2025.08.24,2025.08.23,2025.08.22,2025.08.21,2025.08.20,2025.08.19,2025.08.18,2025.08.17,2025.08.16,2025.08.15,2025.08.14,2025.08.13,2025.08.12,2025.08.11,2025.08.10,2025.08.09,2025.08.08,2025.08.07,2025.08.06,2025.08.05,2025.08.04,2025.08.03,2025.08.02,2025.08.01
북천안IC→안성IC,10시,101.79 km/h,98.50 km/h,103.04 km/h,100.74 km/h,103.13 km/h,104.09 km/h,102.01 km/h,102.92 km/h,100.21 km/h,106.82 km/h,101.86 km/h,102.01 km/h,101.09 km/h,101.46 km/h,101.86 km/h,104.43 km/h,102.19 km/h,96.59 km/h,103.90 km/h,103.32 km/h,101.19 km/h,106.64 km/h,100.27 km/h,103.12 km/h,102.16 km/h,104.67 km/h,98.64 km/h,101.77 km/h,99.35 km/h,99.87 km/h,102.71 km/h
북천안IC→안성IC,11시,99.82 km/h,96.08 km/h,101.33 km/h,101.04 km/h,73.11 km/h,103.30 km/h,99.33 km/h,102.42 km/h,95.26 km/h,98.73 km/h,100.96 km/h,102.51 km/h,101.70 km/h,99.50 km/h,98.40 km/h,100.55 km/h,99.15 km/h,91.17 km/h,104.94 km/h,100.78 km/h,102.41 km/h,103.01 km/h,102.37 km/h,101.51 km/h,101.62 km/h,101.70 km/h,96.17 km/h,102.74 km/h,99.41 km/h,99.50 km/h,102.99 km/h
북천안IC→안성IC,12시,98.61 km/h,98.52 km/h,99.29 km/h,101.06 km/h,102.38 km/h,103.79 km/h,98.54 km/h,103.01 km/h,96.34 km/h,92.71 km/h,99.21 km/h,101.17 km/h,102.59 km/h,100.05 km/h,89.22 km/h,101.88 km/h,96.69 km/h,98.25 km/h,104.42 km/h,103.28 km/h,98.22 km/h,104.07 km/h,101.83 km/h,100.01 km/h,99.98 km/h,103.41 km/h,98.33 km/h,102.92 km/h,98.11 km/h,100.29 km/h,101.51 km/h
북천안IC→안성IC,13시,97.67 km/h,98.66 km/h,97.73 km/h,101.35 km/h,101.39 km/h,104.03 km/h,97.19 km/h,103.12 km/h,100.82 km/h,99.68 km/h,100.20 km/h,100.94 km/h,99.98 km/h,100.52 km/h,96.00 km/h,97.63 km/h,85.21 km/h,98.64 km/h,103.77 km/h,99.31 km/h,98.28 km/h,102.94 km/h,98.32 km/h,90.21 km/h,98.96 km/h,103.63 km/h,99.50 km/h,83.38 km/h,97.41 km/h,91.39 km/h,99.76 km/h
북천안IC→안성IC,14시,95.30 km/h,91.79 km/h,69.44 km/h,55.29 km/h,99.95 km/h,98.99 km/h,101.98 km/h,97.90 km/h,98.55 km/h,58.71 km/h,99.09 km/h,98.60 km/h,99.97 km/h,101.03 km/h,99.97 km/h,90.31 km/h,96.55 km/h,57.12 km/h,101.79 km/h,100.70 km/h,97.56 km/h,101.47 km/h,95.40 km/h,93.43 km/h,90.64 km/h,80.90 km/h,99.86 km/h,101.02 km/h,94.33 km/h,94.86 km/h,68.05 km/h
북천안IC→안성IC,15시,91.49 km/h,72.25 km/h,53.22 km/h,59.50 km/h,99.35 km/h,65.95 km/h,101.30 km/h,96.08 km/h,92.74 km/h,49.82 km/h,97.64 km/h,99.51 km/h,96.11 km/h,99.80 km/h,84.29 km/h,91.46 km/h,95.99 km/h,51.87 km/h,96.26 km/h,91.18 km/h,94.63 km/h,98.30 km/h,96.35 km/h,56.41 km/h,68.40 km/h,95.85 km/h,69.09 km/h,102.55 km/h,89.74 km/h,95.27 km/h,52.89 km/h
북천안IC→안성IC,16시,81.72 km/h,82.65 km/h,47.40 km/h,77.35 km/h,101.87 km/h,103.67 km/h,102.71 km/h,100.66 km/h,95.71 km/h,72.53 km/h,101.42 km/h,102.88 km/h,99.36 km/h,87.64 km/h,90.65 km/h,96.52 km/h,95.76 km/h,47.02 km/h,104.47 km/h,99.52 km/h,91.49 km/h,94.06 km/h,97.81 km/h,73.94 km/h,98.26 km/h,96.63 km/h,49.78 km/h,102.01 km/h,87.67 km/h,94.53 km/h,49.87 km/h
북천안IC→안성IC,17시,81.77 km/h,77.22 km/h,66.11 km/h,102.60 km/h,97.99 km/h,105.86 km/h,105.34 km/h,102.36 km/h,99.68 km/h,66.07 km/h,104.52 km/h,104.34 km/h,106.12 km/h,105.52 km/h,90.47 km/h,92.99 km/h,100.07 km/h,60.81 km/h,104.59 km/h,71.29 km/h,102.59 km/h,102.51 km/h,98.82 km/h,93.84 km/h,104.24 km/h,97.46 km/h,96.80 km/h,105.13 km/h,85.33 km/h,97.85 km/h,42.19 km/h
북천안IC→안성IC,18시,94.97 km/h,81.09 km/h,102.73 km/h,104.64 km/h,106.65 km/h,106.67 km/h,106.50 km/h,100.67 km/h,100.96 km/h,104.62 km/h,105.85 km/h,104.88 km/h,108.48 km/h,105.84 km/h,77.36 km/h,93.70 km/h,99.49 km/h,95.78 km/h,105.99 km/h,101.75 km/h,107.75 km/h,102.91 km/h,101.93 km/h,100.15 km/h,107.82 km/h,103.08 km/h,104.58 km/h,107.62 km/h,71.87 km/h,96.10 km/h,50.96 km/h
북천안IC→안성IC,19시,95.97 km/h,100.63 km/h,102.64 km/h,104.97 km/h,105.85 km/h,105.11 km/h,105.58 km/h,98.31 km/h,102.98 km/h,102.06 km/h,106.53 km/h,105.15 km/h,105.85 km/h,105.79 km/h,98.38 km/h,94.00 km/h,98.73 km/h,101.99 km/h,84.42 km/h,107.28 km/h,108.24 km/h,101.96 km/h,105.83 km/h,103.38 km/h,105.53 km/h,103.06 km/h,105.80 km/h,107.45 km/h,39.70 km/h,100.04 km/h,103.46 km/h
북천안IC→안성IC,20시,96.71 km/h,100.48 km/h,103.87 km/h,105.19 km/h,104.89 km/h,106.72 km/h,104.86 km/h,99.25 km/h,102.67 km/h,102.88 km/h,105.57 km/h,106.15 km/h,104.88 km/h,106.00 km/h,92.59 km/h,96.72 km/h,98.75 km/h,101.91 km/h,69.01 km/h,107.04 km/h,105.96 km/h,98.33 km/h,104.18 km/h,104.13 km/h,104.24 km/h,95.87 km/h,104.73 km/h,105.69 km/h,51.15 km/h,100.61 km/h,101.66 km/h
북천안IC→안성IC,21시,103.81 km/h,108.00 km/h,106.29 km/h,106.56 km/h,105.91 km/h,107.50 km/h,105.49 km/h,106.27 km/h,108.39 km/h,105.66 km/h,105.93 km/h,106.60 km/h,105.88 km/h,106.00 km/h,102.20 km/h,105.27 km/h,105.85 km/h,103.95 km/h,72.57 km/h,107.91 km/h,107.03 km/h,104.82 km/h,109.41 km/h,105.86 km/h,106.51 km/h,102.48 km/h,106.85 km/h,107.10 km/h,77.61 km/h,106.47 km/h,105.87 km/h
북천안IC→안성IC,22시,105.87 km/h,109.11 km/h,107.33 km/h,107.58 km/h,106.73 km/h,107.35 km/h,106.16 km/h,108.90 km/h,110.22 km/h,107.74 km/h,107.23 km/h,107.03 km/h,107.07 km/h,107.34 km/h,105.25 km/h,105.75 km/h,106.54 km/h,108.18 km/h,73.17 km/h,108.20 km/h,107.76 km/h,108.01 km/h,111.52 km/h,108.40 km/h,107.29 km/h,106.18 km/h,108.15 km/h,108.19 km/h,82.68 km/h,107.39 km/h,108.08 km/h
북천안IC→안성IC,23시,110.83 km/h,111.97 km/h,109.24 km/h,107.55 km/h,107.42 km/h,108.73 km/h,106.16 km/h,110.74 km/h,113.35 km/h,109.54 km/h,108.04 km/h,107.06 km/h,108.07 km/h,106.99 km/h,107.44 km/h,108.95 km/h,111.04 km/h,109.71 km/h,79.80 km/h,108.80 km/h,107.68 km/h,110.68 km/h,113.60 km/h,109.78 km/h,108.57 km/h,108.01 km/h,108.75 km/h,108.46 km/h,73.96 km/h,111.81 km/h,109.82 km/h
