구간,시간,2025.08.31,2025.08.30,2025.08.29,2025.08.28,2025.08.27,2025.08.26,2025.08.25,2025.08.24,2025.08.23,2025.08.22,2025.08.21,2025.08.20,2025.08.19,2025.08.18,2025.08.17,2025.08.16,2025.08.15,2025.08.14,2025.08.13,2025.08.12,2025.08.11,2025.08.10,2025.08.09,2025.08.08,2025.08.07,2025.08.06,2025.08.05,2025.08.04,2025.08.03,2025.08.02,2025.08.01
수원신갈IC→기흥IC,12시,90.15 km/h,88.88 km/h,84.64 km/h,86.95 km/h,87.35 km/h,86.24 km/h,86.28 km/h,95.23 km/h,90.04 km/h,85.66 km/h,88.63 km/h,87.68 km/h,83.58 km/h,87.18 km/h,96.35 km/h,90.26 km/h,95.06 km/h,80.00 km/h,86.18 km/h,87.10 km/h,86.33 km/h,97.77 km/h,90.57 km/h,89.31 km/h,83.42 km/h,89.97 km/h,91.15 km/h,89.69 km/h,95.18 km/h,93.17 km/h,90.22 km/h
수원신갈IC→기흥IC,13시,88.60 km/h,88.81 km/h,89.51 km/h,89.99 km/h,90.25 km/h,86.82 km/h,87.94 km/h,78.86 km/h,92.14 km/h,83.61 km/h,88.66 km/h,91.00 km/h,86.55 km/h,88.64 km/h,92.35 km/h,90.86 km/h,91.17 km/h,80.34 km/h,88.88 km/h,86.47 km/h,85.37 km/h,93.78 km/h,87.97 km/h,88.24 km/h,86.83 km/h,93.29 km/h,90.74 km/h,90.85 km/h,95.16 km/h,90.97 km/h,91.51 km/h
수원신갈IC→기흥IC,14시,70.10 km/h,65.45 km/h,84.75 km/h,88.60 km/h,88.19 km/h,45.33 km/h,87.55 km/h,89.88 km/h,92.95 km/h,83.90 km/h,89.05 km/h,87.94 km/h,85.35 km/h,90.04 km/h,90.66 km/h,88.58 km/h,90.49 km/h,82.36 km/h,86.31 km/h,88.57 km/h,89.68 km/h,91.64 km/h,86.59 km/h,88.13 km/h,86.29 km/h,86.54 km/h,91.33 km/h,91.60 km/h,91.58 km/h,93.98 km/h,90.55 km/h
수원신갈IC→기흥IC,15시,72.17 km/h,74.97 km/h,79.86 km/h,85.58 km/h,88.13 km/h,92.37 km/h,88.19 km/h,90.31 km/h,90.16 km/h,83.94 km/h,91.42 km/h,86.53 km/h,87.73 km/h,88.58 km/h,88.46 km/h,92.11 km/h,87.83 km/h,84.19 km/h,83.48 km/h,86.30 km/h,87.93 km/h,91.38 km/h,90.71 km/h,86.40 km/h,87.03 km/h,85.80 km/h,91.55 km/h,67.82 km/h,91.00 km/h,94.22 km/h,91.51 km/h
수원신갈IC→기흥IC,16시,87.19 km/h,88.52 km/h,86.20 km/h,78.95 km/h,86.46 km/h,90.71 km/h,87.82 km/h,92.28 km/h,86.54 km/h,85.07 km/h,89.58 km/h,85.96 km/h,90.62 km/h,87.57 km/h,88.80 km/h,93.37 km/h,91.41 km/h,89.87 km/h,85.43 km/h,90.67 km/h,88.38 km/h,91.49 km/h,90.97 km/h,55.50 km/h,85.82 km/h,88.96 km/h,91.59 km/h,91.79 km/h,90.01 km/h,92.46 km/h,90.46 km/h
수원신갈IC→기흥IC,17시,86.78 km/h,90.73 km/h,88.30 km/h,89.46 km/h,86.43 km/h,91.25 km/h,90.78 km/h,90.77 km/h,89.53 km/h,87.67 km/h,91.74 km/h,88.34 km/h,93.71 km/h,89.06 km/h,93.18 km/h,91.66 km/h,59.81 km/h,91.43 km/h,87.18 km/h,92.11 km/h,91.02 km/h,93.17 km/h,90.33 km/h,89.80 km/h,68.68 km/h,92.21 km/h,94.47 km/h,92.13 km/h,87.65 km/h,95.21 km/h,92.40 km/h
수원신갈IC→기흥IC,18시,90.07 km/h,87.70 km/h,86.57 km/h,89.91 km/h,89.37 km/h,89.38 km/h,91.73 km/h,90.14 km/h,87.67 km/h,89.06 km/h,93.09 km/h,88.92 km/h,91.46 km/h,89.32 km/h,93.12 km/h,91.98 km/h,94.79 km/h,89.39 km/h,82.34 km/h,91.18 km/h,92.31 km/h,94.60 km/h,91.61 km/h,85.82 km/h,87.38 km/h,91.85 km/h,93.89 km/h,92.15 km/h,94.35 km/h,95.71 km/h,93.08 km/h
수원신갈IC→기흥IC,19시,84.02 km/h,85.45 km/h,83.70 km/h,85.69 km/h,85.79 km/h,85.33 km/h,89.27 km/h,94.73 km/h,87.26 km/h,85.98 km/h,92.77 km/h,91.14 km/h,88.40 km/h,87.61 km/h,89.60 km/h,94.50 km/h,96.09 km/h,85.85 km/h,75.88 km/h,88.80 km/h,89.38 km/h,92.19 km/h,96.24 km/h,87.54 km/h,86.00 km/h,94.21 km/h,91.76 km/h,91.90 km/h,91.31 km/h,97.85 km/h,92.73 km/h
수원신갈IC→기흥IC,20시,86.20 km/h,89.23 km/h,81.55 km/h,87.78 km/h,89.98 km/h,89.49 km/h,90.07 km/h,87.73 km/h,93.10 km/h,83.55 km/h,90.02 km/h,93.58 km/h,92.36 km/h,91.38 km/h,86.97 km/h,92.53 km/h,93.06 km/h,81.04 km/h,81.71 km/h,88.64 km/h,91.53 km/h,71.05 km/h,93.94 km/h,86.28 km/h,88.52 km/h,95.86 km/h,93.21 km/h,97.49 km/h,88.77 km/h,93.83 km/h,88.71 km/h
수원신갈IC→기흥IC,21시,89.90 km/h,94.94 km/h,93.46 km/h,95.03 km/h,97.08 km/h,97.53 km/h,98.30 km/h,95.62 km/h,99.40 km/h,95.81 km/h,97.79 km/h,97.66 km/h,98.35 km/h,100.04 km/h,93.61 km/h,97.41 km/h,98.38 km/h,91.78 km/h,91.77 km/h,99.19 km/h,98.04 km/h,82.50 km/h,98.24 km/h,96.07 km/h,96.97 km/h,99.59 km/h,99.21 km/h,100.73 km/h,95.02 km/h,99.76 km/h,99.34 km/h
수원신갈IC→기흥IC,22시,94.34 km/h,95.91 km/h,96.53 km/h,99.26 km/h,98.63 km/h,99.09 km/h,100.82 km/h,99.69 km/h,98.07 km/h,98.58 km/h,99.79 km/h,99.77 km/h,100.37 km/h,102.21 km/h,98.42 km/h,98.92 km/h,98.87 km/h,95.75 km/h,98.05 km/h,99.98 km/h,100.26 km/h,97.35 km/h,102.15 km/h,98.02 km/h,98.62 km/h,102.29 km/h,102.14 km/h,103.05 km/h,87.59 km/h,98.79 km/h,99.83 km/h
수원신갈IC→기흥IC,23시,101.21 km/h,101.64 km/h,98.11 km/h,99.79 km/h,100.75 km/h,101.39 km/h,88.26 km/h,106.75 km/h,103.50 km/h,100.21 km/h,102.50 km/h,102.35 km/h,104.10 km/h,100.77 km/h,105.24 km/h,104.12 km/h,100.63 km/h,100.42 km/h,101.15 km/h,103.23 km/h,102.14 km/h,103.12 km/h,107.32 km/h,100.55 km/h,101.98 km/h,104.35 km/h,103.49 km/h,104.62 km/h,89.64 km/h,105.55 km/h,103.24 km/h
