구간,시간,2025.09.30,2025.09.29,2025.09.28,2025.09.27,2025.09.26,2025.09.25,2025.09.24,2025.09.23,2025.09.22,2025.09.21,2025.09.20,2025.09.19,2025.09.18,2025.09.17,2025.09.16,2025.09.15,2025.09.14,2025.09.13,2025.09.12,2025.09.11,2025.09.10,2025.09.09,2025.09.08,2025.09.07,2025.09.06,2025.09.05,2025.09.04,2025.09.03,2025.09.02,2025.09.01
수원신갈IC→기흥IC,10시,22.22 km/h,86.91 km/h,85.93 km/h,87.84 km/h,84.69 km/h,48.12 km/h,89.30 km/h,89.73 km/h,88.53 km/h,94.18 km/h,83.52 km/h,84.61 km/h,85.41 km/h,77.91 km/h,90.59 km/h,85.03 km/h,94.48 km/h,89.29 km/h,56.74 km/h,87.24 km/h,88.64 km/h,85.36 km/h,67.20 km/h,95.48 km/h,63.07 km/h,84.22 km/h,86.86 km/h,87.28 km/h,68.44 km/h,86.79 km/h
수원신갈IC→기흥IC,11시,19.74 km/h,85.84 km/h,84.81 km/h,88.72 km/h,84.75 km/h,44.61 km/h,90.03 km/h,88.38 km/h,85.00 km/h,93.16 km/h,87.46 km/h,81.15 km/h,64.81 km/h,72.55 km/h,86.77 km/h,83.11 km/h,92.07 km/h,85.80 km/h,75.09 km/h,82.84 km/h,84.58 km/h,92.74 km/h,93.29 km/h,95.33 km/h,46.42 km/h,72.54 km/h,85.41 km/h,81.38 km/h,75.35 km/h,85.07 km/h
수원신갈IC→기흥IC,12시,36.07 km/h,53.80 km/h,94.97 km/h,92.88 km/h,90.55 km/h,53.77 km/h,88.22 km/h,85.74 km/h,88.74 km/h,91.86 km/h,90.06 km/h,86.44 km/h,58.62 km/h,86.11 km/h,88.89 km/h,90.23 km/h,94.79 km/h,90.75 km/h,84.53 km/h,86.01 km/h,86.62 km/h,94.79 km/h,92.64 km/h,96.86 km/h,89.05 km/h,84.20 km/h,87.08 km/h,87.07 km/h,91.05 km/h,87.60 km/h
수원신갈IC→기흥IC,13시,90.06 km/h,56.89 km/h,90.14 km/h,91.07 km/h,90.86 km/h,86.14 km/h,88.31 km/h,87.97 km/h,91.38 km/h,93.75 km/h,93.68 km/h,84.11 km/h,88.67 km/h,84.87 km/h,84.02 km/h,88.17 km/h,92.44 km/h,88.89 km/h,87.16 km/h,88.57 km/h,88.99 km/h,94.00 km/h,95.87 km/h,92.75 km/h,84.28 km/h,89.52 km/h,90.33 km/h,89.59 km/h,89.63 km/h,87.92 km/h
수원신갈IC→기흥IC,14시,88.91 km/h,91.45 km/h,90.83 km/h,90.16 km/h,90.57 km/h,76.59 km/h,81.25 km/h,86.13 km/h,89.86 km/h,89.26 km/h,84.11 km/h,81.93 km/h,88.94 km/h,80.62 km/h,36.39 km/h,91.39 km/h,90.35 km/h,87.37 km/h,86.15 km/h,89.16 km/h,90.54 km/h,87.93 km/h,94.74 km/h,90.71 km/h,85.42 km/h,87.68 km/h,89.24 km/h,88.55 km/h,89.85 km/h,80.09 km/h
수원신갈IC→기흥IC,15시,87.35 km/h,91.32 km/h,91.91 km/h,91.37 km/h,88.48 km/h,32.93 km/h,85.48 km/h,87.92 km/h,90.06 km/h,89.64 km/h,87.82 km/h,85.73 km/h,89.01 km/h,86.46 km/h,42.31 km/h,89.21 km/h,89.65 km/h,86.07 km/h,83.33 km/h,88.26 km/h,87.66 km/h,90.41 km/h,95.55 km/h,91.42 km/h,84.49 km/h,89.40 km/h,88.48 km/h,89.51 km/h,88.74 km/h,79.85 km/h
수원신갈IC→기흥IC,16시,89.07 km/h,91.91 km/h,88.86 km/h,90.50 km/h,87.69 km/h,49.86 km/h,86.65 km/h,89.50 km/h,87.89 km/h,88.81 km/h,88.68 km/h,85.19 km/h,90.43 km/h,81.80 km/h,88.96 km/h,86.55 km/h,91.28 km/h,86.94 km/h,83.47 km/h,86.05 km/h,88.01 km/h,74.27 km/h,91.29 km/h,90.74 km/h,84.36 km/h,90.04 km/h,88.10 km/h,87.35 km/h,88.11 km/h,84.17 km/h
수원신갈IC→기흥IC,17시,90.59 km/h,92.28 km/h,91.01 km/h,91.11 km/h,90.89 km/h,92.35 km/h,87.01 km/h,92.06 km/h,90.89 km/h,89.03 km/h,89.60 km/h,85.34 km/h,88.00 km/h,86.06 km/h,89.79 km/h,90.50 km/h,89.56 km/h,89.72 km/h,83.65 km/h,88.88 km/h,88.23 km/h,89.05 km/h,92.93 km/h,88.96 km/h,78.28 km/h,89.45 km/h,89.22 km/h,90.66 km/h,90.41 km/h,85.71 km/h
수원신갈IC→기흥IC,18시,85.58 km/h,90.15 km/h,87.83 km/h,88.90 km/h,87.43 km/h,89.50 km/h,83.45 km/h,90.10 km/h,89.03 km/h,85.96 km/h,88.85 km/h,81.44 km/h,87.02 km/h,86.14 km/h,85.57 km/h,88.98 km/h,88.49 km/h,87.09 km/h,77.32 km/h,87.84 km/h,90.12 km/h,93.31 km/h,92.11 km/h,90.85 km/h,80.05 km/h,88.18 km/h,90.40 km/h,89.50 km/h,89.63 km/h,87.54 km/h
수원신갈IC→기흥IC,19시,86.50 km/h,94.28 km/h,87.28 km/h,89.77 km/h,84.70 km/h,88.07 km/h,82.93 km/h,87.71 km/h,87.75 km/h,82.77 km/h,85.99 km/h,78.85 km/h,84.51 km/h,83.57 km/h,82.16 km/h,86.73 km/h,85.53 km/h,88.26 km/h,74.84 km/h,86.65 km/h,86.56 km/h,86.89 km/h,87.04 km/h,84.45 km/h,81.26 km/h,84.39 km/h,86.73 km/h,86.90 km/h,87.20 km/h,84.00 km/h
수원신갈IC→기흥IC,20시,87.65 km/h,86.22 km/h,87.54 km/h,91.42 km/h,69.63 km/h,88.52 km/h,81.31 km/h,88.28 km/h,91.35 km/h,85.37 km/h,87.16 km/h,79.50 km/h,88.59 km/h,88.43 km/h,78.89 km/h,93.20 km/h,86.22 km/h,91.52 km/h,76.30 km/h,89.31 km/h,90.48 km/h,90.41 km/h,90.96 km/h,85.17 km/h,75.30 km/h,82.01 km/h,90.67 km/h,88.50 km/h,89.75 km/h,90.78 km/h
수원신갈IC→기흥IC,21시,97.93 km/h,97.42 km/h,95.60 km/h,98.08 km/h,95.32 km/h,98.88 km/h,89.64 km/h,99.72 km/h,99.71 km/h,92.45 km/h,94.74 km/h,83.91 km/h,96.74 km/h,97.66 km/h,93.89 km/h,98.26 km/h,92.60 km/h,98.38 km/h,83.82 km/h,97.00 km/h,98.50 km/h,99.54 km/h,98.31 km/h,69.06 km/h,88.24 km/h,93.83 km/h,97.72 km/h,97.19 km/h,96.77 km/h,96.68 km/h
수원신갈IC→기흥IC,22시,98.77 km/h,99.77 km/h,100.82 km/h,99.82 km/h,97.20 km/h,101.46 km/h,95.36 km/h,101.05 km/h,100.50 km/h,98.10 km/h,99.01 km/h,88.21 km/h,98.38 km/h,99.90 km/h,98.00 km/h,99.93 km/h,98.85 km/h,100.30 km/h,87.63 km/h,100.04 km/h,100.43 km/h,101.15 km/h,102.45 km/h,66.89 km/h,94.76 km/h,98.15 km/h,98.99 km/h,100.86 km/h,99.93 km/h,99.50 km/h
수원신갈IC→기흥IC,23시,102.92 km/h,103.58 km/h,105.64 km/h,100.75 km/h,99.73 km/h,103.37 km/h,100.70 km/h,102.87 km/h,104.96 km/h,103.84 km/h,103.88 km/h,92.14 km/h,101.38 km/h,103.25 km/h,101.63 km/h,103.36 km/h,103.72 km/h,104.67 km/h,83.17 km/h,101.81 km/h,102.39 km/h,101.59 km/h,103.79 km/h,104.09 km/h,100.50 km/h,101.53 km/h,102.66 km/h,102.07 km/h,102.58 km/h,102.06 km/h
